course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
ARCH 436,D100,fall,2024,ARCH 373 and permission of the department. Normally taken concurrently with ARCH 433 and ARCH 434.,ARCH 373;ARCH 433;ARCH 434,False,"[{'days': 'Fr', 'startTime': '13:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Dongya Yang,6
BISC 298,D001,fall,2024,,,False,[],Megan Barker,3
CMPT 426,D400,fall,2024,"Students must complete Bridging Online (visit www.sfu.ca/coop/bol for further details) at least two terms before their anticipated co-op placement. Students must then enroll with the co-op program by the second week of the term preceding the work term. Normally, students will have completed a minimum of 45 units by the end of the term of application, CMPT 275 or 276, and have a minimum CGPA of 2.50.",CMPT 275,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:00', 'endTime': '20:00', 'campus': None}]",Tanya Behrisch;Cristina Eftenaru;Stephanie Greaves,3
MSE 494,I100,fall,2024,"MSE 393 or 394, a minimum of 75 units and approval of internship co-ordinator required.",MSE 393,False,"[{'days': 'Mo, Tu, We, Th, Fr', 'startTime': '8:30', 'endTime': '16:50', 'campus': None}]",Ryan McDonald;Stephanie DeRapp,3
PHYS 490,D100,fall,2024,"PHYS 313 and PHYS 384, both with a minimum grade of C-.",PHYS 313;PHYS 384,False,"[{'days': 'Mo, We', 'startTime': '16:30', 'endTime': '17:50', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '16:30', 'endTime': '17:50', 'campus': 'Burnaby'}]",Andrei Frolov,3
BUS 326,D200,fall,2024,,,False,[],Shauna Tonsaker,3
IAT 387,D100,fall,2024,"Completion of 45 units, and permission of the School and the instructor is required. No more than six units of Directed Studies may be taken.",,True,[], Nilay Yalcin;Steve DiPaola,3
IAT 487,D100,fall,2024,"Completion of 69 units, and permission of the instructor and School are required. No more than six units of Directed Studies may be taken.",,True,[],Steve DiPaola;Kenneth Zupan,3
EDUC 475,D100,fall,2024,EDUC 401/402 or corequisite EDUC 403. Students must successfully complete an SFU criminal records check.,EDUC 401;EDUC 403,False,[],Barb Wagner,4
ACMA 436,D200,fall,2024,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.,ACMA 337,False,[],Natalie Erickson,3
