course,term,year,prereqs
ca 256,spring,2024,"One of CA 123, 131, 146, 152, 161, 171."
ca 261,spring,2024,CA (or FPA) 260. A course materials fee is required.
ca 263,spring,2024,CA (or FPA) 160. A course materials fee is required.
ca 269,spring,2024,CA (or FPA) 160. A course materials fee is required.
ca 271,spring,2024,CA (or FPA) 170.
ca 276,spring,2024,"CA 174, CA 170 or permission of instructor."
ca 285,spring,2024,"One of CA (or FPA) 122, 130, 145, 150, 160, 170."
ca 306,spring,2024,45 units.
ca 307,spring,2024,45 units and permission of Internship Coordinator.
ca 315,spring,2024,45 units.
ca 321,spring,2024,CA (or FPA) 320.
ca 323,spring,2024,CA (or FPA) 322 or prior approval.
ca 332,spring,2024,CA (or FPA) 231 or prior approval.
ca 339,spring,2024,"CA (or FPA) 231, or CA (or FPA) 251 with prior approval."
ca 340,spring,2024,Permission of instructor.
ca 343,spring,2024,CA 243.
ca 344,spring,2024,CA 140 or permission of instructor.
ca 346,spring,2024,CA 345.
ca 347,spring,2024,CA 247 or permission of instructor.
ca 349,spring,2024,CA (or FPA) 245.
ca 350,spring,2024,"CA 252 and declared status in the theatre and performance major or honours, or by prior approval."
ca 355,spring,2024,CA 354.
ca 356,spring,2024,CA 256.
ca 361,spring,2024,CA (or FPA) 360 and 366. Corequisite: CA 367.
ca 363,spring,2024,CA (or FPA) 160. A course materials fee is required.
ca 367,spring,2024,CA (or FPA) 366. Corequisite: CA 361.
ca 369,spring,2024,CA (or FPA) 160. A course materials fee is required.
ca 371,spring,2024,CA (or FPA) 270 and 271 or prior approval.
ca 375,spring,2024,CA (or FPA) 270 or prior approval.
ca 386,spring,2024,60 credit hours.
ca 389,spring,2024,30 units of CA (or FPA) courses.
ca 393,spring,2024,CA (or FPA) 390 or approval of instructor.
ca 400,spring,2024,"60 units plus a minimum standing of completion of second year in any of the programs offered in the School for the Contemporary Arts, and prior approval."
ca 401,spring,2024,"60 units plus a minimum standing of completion of second year in any of the programs offered in the School for the Contemporary Arts, and prior approval."
ca 406,spring,2024,60 units.
ca 407,spring,2024,60 units and permission of Internship Coordinator.
ca 416,spring,2024,CA (or FPA) 316 (or 337) or CA (or FPA) 318 (or 335).
ca 420,spring,2024,CA (or FPA) 285 and CA (or FPA) 321.
ca 425,spring,2024,"CA 220, 324."
ca 428,spring,2024,CA (or FPA) 427 or prior approval.
ca 432,spring,2024,CA (or FPA) 430.
ca 446,spring,2024,CA 445.
