name,department,rating,num_ratings,would_take_again_percent,difficulty,courses
Jiangchuan Liu,Computer Science,3.3,47,66.6667,2.7,CMPT101; CMPT307; CMPT365; CMPT371; CMPT771; CMPT880; MACM101
Richard Wong,Accounting,5,4,100,2.5,BUS330
Samuel Black,Philosophy,4.3,14,85.7143,2.3,PHIL120
Keyvan Khoroush,Chemistry,2.6,5,40,4,CHEM122
Neil Alberding,Physics,3,109,50,2.7,PHY120; PHY132; PHYS100; PHYS101; PHYS102; PHYS120; PHYS121; PHYS132; PHYS140; PHYS141; PHYS141D100; PHYS233; PHYSD100
Vivian Neal,Engineering,2,1,0,4,SEE101W
Roxanne Panchasi,History,4.2,79,70,3.1,300; HIS224; HIST; HIST000; HIST224; HIST225; HIST235; HIST300; HIST319; HIST319300; HIST345W; HIST417; HIST417W; HIST486
Lyana Patrick,Health Science,5,3,100,1.7,HSCI210; HSCI472
Nilima Nigam,Mathematics,2.4,40,35.4839,4.2,314; MACM409; MACM416; MATH232; MATH240; MATH242; MATH252; MATH314; MATH320; MATH397; MATH425
Geoff Mann,Geography,4.8,36,100,2.6,GEO100; GEO221; GEOG100; GEOG221; GEOG321; GEOG389; GEOG490; GEOGMBA
Eva Snirer,Geography,2.2,9,44.4444,3,GEOG251; GEOG253; GEOG2700
Laurie Darcus,Anthropology,1,2,0,4.5,ARCH301
